slang,formal
ahmad,raffiahmad
ai,Ini
aihihihi,geli
aiish,mengaduh
aileen,alien
ain,saya
aing,saya
aingapis,saya
aingmah,saya
ains,saya
aipet,ipad
airmata,air mata
airport,bandara
aish,ngeluh
aiskrim,es
aisyah,aisya
aiyo,cinta
aj,saja
aja,saja
ajaa,saja
ajaaa,saja
ajaaaa,aja
ajaaah,saja
ajaaahhhhh,saja
ajaah,saja
ajaanu,aja
ajabukan,ajak
ajach,saja
ajadah,aja
ajadeh,saja
ajaga,jaga
ajagiliran,giliran
ajah,saja
ajahhh,saja
ajaibb,ajaib
ajak,mengajak
ajakalah,ajak
ajakin,ajak
ajalah,saja
ajari,ajar
ajarin,diajarin
ajarr,ajar
ajasih,aja
ajay,anjay
aje,saja
ajekqkdkaksaksj,aneh
ajep-ajep,dunia
ajg,anjing
ajgg,anjing
ajh,aja
ajha,adalah
ajhakabahajha,tertawa
ajhh,saja
ajib,hebat
ajibb,keren
ajiel,gila
ajig,anjing
ajj,saja
ajja,saja
ajjaaa,saja
ajjh,saja
ajoin,bergabung
aju,ajukan
ajuin,mengajukan
ajusshi,paman
ajy,anjir
ak,saya
akak,saya
akakakaka,ketawa
akakakaka ,ketawa
akalakalan,tipu
akalakaln,tipu muslihat
akane,akan
akankena,mengenai
akaun,akun
akaunti,akun
akeh,banyak
akh,kesakitan
akhen,aksen
akherat,akhirat
akhi,saudara
akhibat,akibat
akhinya,akhirnya
akhirny,akhirnya
akhirnyaa,akhirnya
akhirnyamush,musuh
akhirnye,akhirnya
akhirt,akhirat
akhirx,akhirnya
akhlah,akhlak
akhrt,akhirat
akhuna,akhirnya
akika,saya
akina,mirip
akingojea,menunggu
akipata,akhirnya
akirnya,akhirnya
akiwa,jika
akjn,ajakan
akko,saya
akkoh,saya
akku,saya
akn,akan
akoh,saya
akoooh,saya
akrg,sekarang
aktiff,aktif
aktifis,aktivis
aktifitas,aktivitas
aktifkan,aktif
aktingny,aktingnya
aktivisi,aktivis
aku,saya
akuh,saya
akuhalo,halo
akuhh,saya
akui,mengakui
akuisisi,informasi
akumuslim,muslim
akunku,akun
akunlelang,akun
akunn,akun
akunnya,akun
akurr,akur
akusarakayu,saya
akusisi,akuisisi
akutansi,akuntansi
akutu,memperkirakan
akutuh,memperkirakan
akuu,saya
akuuu,saya
akuuuuu,saya
akuwa,aqua
akuwh,saya
akwk,sindiran
akwkawk,sindiran
akwkw,sindir
akyu,saya
ala,gaya
alaa,kalah
alaâ,kalah
alaah,kalah
alaahh,kalah
alaami,alami
alah,masa bodoh
alahmak,mati
alahuakbar,allahu akbar
alaikm,alaikum
alalala,seperintah
alallohu,alallahu
alamii,alami
alamiii,alami
alamiyah,alamiah
alang,untung
alasannyaâ,alasan
alatt,alat
alay,alay
alayy,alay
albun,album
aleksis,alexis
alemanâ,alemannya
alert,peringatan
alesan,alasan
alesanya,alasannya
alfa,alfamart
alfaadli,alfadli
alhamd,alhamdulillah
alhamdulilah,alhamdulillah
alhamdulillaaaaah,alhamdulillah
alhamdulillaah,alhamdulillah
alhamdulillahongkos,alhamdulillah
alhmdlillah,alhamdulillah
alhmdllh,alhamdulillah
alhmdulillah,alhamdulillah
aliâ,alia
aliby,alibi
alig,gila
alih,beralih
alikua,dewasa
aline,alinea
alissnyaa,alisnya
alkhamdulilah,alhamdulillah
all,semua
allaah,allah
allaahh,allah
allahakbar,allahuakbar
allahh,allah
allahhhhhhh,allah
allahuakhbar,allahuakbar
allahuu,allah
allberhubung,berhubung
alloh,allah
allohu,allahu
allooww,menyapa
alm,almarhum
almh,almarhumah
almost,hampir
alo,halo
aloe,aloevera
aloh,allah
alone,sendiri
alow,menyapa
alpokat,alpukat
alqt,alat
alqur,alquran
also,juga
alumi,alumni
alur,alur
alus,halus
alva,alvabeth
alywafa,aly wafa
ama,sama
amaattt,terlalu
amaca,kecewa
amad,terlalu
amajing,luar biasa
amak,tiga tiga
amateur,amatir
amatt,amat
amattt,amat
ambe,ambil
ambek,ambil
ambia,ambil
ambik,ambil
ambikk,ambil
ambilin,ambilkan
ambis,ambisius
ambisional,ambisi
ambisitercapai,ambisius
ambition,ambisi
ambl,ambil
amblass,amblas
ambleg,runtuh
ambulan,ambulans
ambyar,hancur
ambyarrrrr,hancur
amcaman,ancaman
ameen,amin
amek,ambek
amen,amin
amendemen,amandemen
amerik,amarika
amewatime,bunuh
amfun,ampun
amiend,amin
amienn,amin
amiennn,amin
amiien,amin
amiiiiiiiiiiiiiiiiin,amin
amiiiiiiiiiiin,amin
amiiiiiiiiiinnnnnnn,amin
amiiiiin,amin
amiiiiinnn,amin
amiiiiinnnnn,amin
amiiiin,amin
amiiin,amin
amiiinn,amin
amiiinnn,amin
amiiinnnn,amin
amiin,amin
amiinikutan,ikutan
amiinn,amin
amiinnn,amin
amiinnnn,amin
amiinoiya,amin
aminin,amin
aminn,amin
aminnn,amin
aminnnn,amin
aminnnnn,amin
amiss,amis
amitamit,amit amit
amk,amat
ammiiin,amin
ammin,amin
amohhh,dia
amp,sampai
ampe,sampai
ampek,sampai
amploppp,amplop
ampunddd,ampun
ampunn,ampun
ampunnn,ampun
ampunnnn,ampun
ampunnnnn,ampun
ampunnnnnnnn,ampun
ampuun,ampun
ampuunn,ampun
ampuuunn,ampun
ampyuunn,ampun
amrik,amerika
amriki,amerika
amstir,amatir
amsyong,apes
amu,dia
amuh,dia
an,ikutan
ana,saya
anaa,saya
anafanya,melakukan
anafollowers,follower
anahitaji,dia
anajua,tahu
anakanak,anak
anakhits,anak hits
anakhitsbanget,anak hits banget
anakhitskekinian,anak hits kekinian
anakjajan,anak
anakk,anak
anakkece,anak kece
anakkeren,anak keren
anakku,anak
anakny,anak
anaknya,anak
anaknya ,anak
anakonda,anaconda
anaksma,anak sma
anaku,anak
anakx,anak
analasinya,analisa
analisaku,analisisku
analisanya,analisa
analisise,analisis
analytics,analitik
anambradecideshttps,memutuskan
anamkutanisha,bertemu
anangoja,menunggu
anatakiwa,butuh
anatweet,tweet
anbiarkekinian,kekinian
ancen,memang
ancok,jancuk
ancoor,hancur
ancor,hancur
ancur,hancur
ancuran,hancur
ancurancurantahun,hancur
ancurin,hancur
ancurrr,hancur
ancuur,hancur
and,dan
and ,dan
andaa,anda
andaâ,anda
andalanku,andalan
andalin,andalkan
andiblz,andi balas
andreopa,andre opa
andu,kamu
ane,saya
aned,banget
anedh,banget
aneed,banget
aneuk,anak
aneut,banget
anever,tidak pernah
aneyejiona,harga diri
ang,orang
angagement,tingkah lakunya
angel,vanessaangel
angell,malaikat
anger,marah
anget,hangat
angetin,hangat
angeus,angelus
anggep,anggap
angkot,angkutan kota
angkrem,mengerami
angktpn,angkatpun
angle,sisi
angst,bangsat
anj,anjing
anjaayy,anjay
anjae,anjay
anjayani,anjay
anjayy,anjay
anjeeer,anjing
anjeeng,anjing
anjeng,anjing
anjenggg,anjing
anjenk,anjing
anjer,anjir
anjg,anjing
anjiing,anjing
anjiirr,kaget
anjim,anjing
anjinc,anjing
anjingg,anjing
anjinggg,anjing
anjingnyaa,anjing
anjink,anjing
anjinxx,anjing
anjirapis,anjir
anjiritt,anjir
anjirr,anjir
anjirrr,anjir
anjirrrr,anjir
anjirt,anjir
anjj,anjir
anjjirrr,anjir
anjjj,anjir
anjjncccccccccc,anjing
anjlog,anjlok
anjm,anjing
anjp,anjing
anjr,anjing
anjrit,anjir
anjrittt,anjir
anjy,anjay
anjyng,anjing
anjyr,anjir
ank,anak
anknya,anak
ankx,anak
anlisa,analisis
anniversary,peringatan
announce,mengumumkan
annoying,mengganggu
annya,endorse
anomaly,anomali
anon,segera
another,lainnya
anshor,ansar
antah,berantah
antarabangsa,antara bangsa
ante,antek
antekny,antek
anter,antar
anterin,antarkan
anthropology,antropologi
antiliberal,anti
antimenstrim,unik
antr,antar
antraksi,atraksi
antri,antre
antrian,antrean
anty,anti
anu,doi
anugrah,anugerah
anw,jawab
anxiety,menggelikansah
any,apapun
anyak,banyak
anyel,anjing
anyeng,anjing
anying,anjing
anyink,anjing
anyone,seorang
anything,segalanya
anyway,sesuatu
anzeng,anjing
anzing,anjing
aoa,apa
aoakwkwkwkwk,menggelikan
aowkaow,mengamuk
aowkaowkaok,sindiran
aowkaowksowk,sindiran
aowkwokwoak,sindiran
aowmkskwjw,sindiran
ap,apa
apaa,apa
apaaa,apa
apaaaa,apa
apaaan,apaan
apaalahh,apalah
apaandah,apaan
apaansi,apasih
apaapaan,apa apaan
apaapalah,apa sajalah
apaapun,apapun
apadong,apa dong
apah,apa
apain,apa
apak,apakah
apaka,apakah
apakabar,apa kabar
apakabss,apa kabar
apakbar,apa kabar
apakk,apa
apal,hafal
apala,apa
apalag,apalah
apalagu,apalagi
apalai,apalagi
apalg,apalagi
apamaunya,apa maunya
apamnya,alamnya
apan,apaan
apane,apanya
apanih,ada apa
apankah,kapan
apann,apaan
apanya,apa
apaoun,apapun
apapum,apapun
apartemenknp,apartemen
apasalahnya,apa salahnya
apasi,apasih
apate,apa
apbn,anggaran
apdet,update
apdol,afdol
ape,apa
apelancau,banding
aph,apa
apikkkk,bagus
apk,aplikasi
apkabar,apa kabar
apkah,apakah
apkh,apakah
aplg,apalagi
aplgi,apalagi
aplgie,apalagi
aplikasiin,mengaplikasikan
aplks,aplikasi
aplot,unggah
apni,kamu
apo,disana
apose,apasih
app,aplikasi
appa,apa
appeared,muncul
appliance,alat
applikasi,aplikasi
apply,lamar
appnya,aplikasi
appp,aplikasi
apps,aplikasi
aps,apa
apsen,absen
apun,apapun
apus,hapus
apuss,hapus
apva,apa
apz,apa
aq,saya
aqiqah,akikah
aqu,saya
aqua,air
aquh,saya
aquwh,saya
arabislam,arab islam
arek,anak
arep,mau
arey,menyapa
arghhh,kecewa
arhh,kecewa
arief,ariefmuhammad
armuh,pakmuh
aromatics,aromatik
arrived,datang
arsyinta,nandaarsyinta
art,senggama
arteeesss,artis
artine,arti
artinx,arti
artiny,arti
artishollywood,artis
artiskalau,celebrity
artisnya,artis
artisnyaa,celebrity
artist,celebrity
artix,arti
artpsium,seni
arts,seni
artworknya,seni
arulin,pada bermain
arut,larut
as,sebab
asa,ada
asaan,asahan
asai,Semoga
asall,asal
asap,seorang
asasai,asasi
asdep,asisten deputi
ase,abaikan
asee,asik
aseeekkk,asik
aseek,asik
aseekk,asik
aseekkk,asik
aseeqq,asik
asek,asik
asekk,asik
asekkkk,asik
asekkkkk,asik
aseknya,asik
aseli,asli
aselik,asli
asem,asam
aseng,asing
asesoris,aksesori
asetku,aset
asew,anjing
ashdkvkal,nyindir
ashes,asik
asiatic,asia
asibg,asing
asiiik,asik
asiiikk,asik
asiiikkk,asik
asiikk,asik
asikk,asik
asikkk,asik
asikmutulisan,asik
asiq,asik
asisten,bawahan
ask,tanya
askdldlfk,aneh
asked,bertanya
asko,Esco
aslai,Nyata
aslian,asli
aslii,asli
asliii,asli
asliiii,asli
aslik,asli
asline,asli
aslinya,asli
aslinyo,asli
asoy,asik
ass,assalamualaikum
assalammualaikum,asalamualaikum
assalamu,asalamualaikum
assalamuallaikum,assalamualaykum
asseeekkkk,asik
assesor,penilai
assessor,penilai
asset,aset
assets,aset
assignment,tudung
assignments,tugas
assimilate,asimilasi
asstag,astaga
astafirullah,astagfirullah
astagaa,astaga
astagaaa,astaga
astagaaaa,astaga
astagfirllah,astagfirullah
astagfirlloh,astagfirullah
astagfirrullah,astagfirullah
astagfirullh,astagfirullah
astagfiruloh,astagfirullah
astaghfar,astagfirullah
astaghfirullah,astagfirullah
astaghfirullohal,astagfirullah
astauviruloh,astagfirullah
astgfrlh,astagfirullah
astgfrullah,astagfirullah
astrojim,astagfirullah
astronautumur,astronot
astul,asal tulis
asuan,asuhan
asuog,anjing
asutolol,bodoh
asuu,asu
asuuu,asu
asuuuuuu,asu
asw,asu
aswell,juga
aswwww,asu
asyek,asik
asyikk,asik
asyikkkkk,asik
asymetric,asimetri
asysyihaa,asy syifa
ataau,atau
atakama,akan
atakua,tumbuh
atanazwi,terdengar
atao,atau
atapiga,menyerang
atassan,atasan
atatoa,semprul
atauem,atau
atauhr,atau
ataus,atau
atawa,atau
atc,tanggap
atekan,tekan
ateknya,antek
ath,anak
atheis,ateis
atheist,ateis
athies,ateis
athoh,pintu
ati,hati
atine,hatinya
ating,anting
atit,sakit
atlet,atlit
atmajaya,atma jaya
ato,atau
atok,kakek
ats,atas
attack,serangan
attas,atas
attendaance,hadir
attending,kehadiran
attitude,sikap
attitudenya,sikap
atuh,mengaduh
atuhh,pintu
atuhhh,pintu
atum,kamu
atutt,takut
atuu,satu
atw,atau
au,tahu
au ah,tidak mau tahu
aua,haus
auction,aksi
audience,pendengar
aufhebung,mencabut
aunya,ketakutan
aur,dan
aurot,aurat
aus,haus
ausi,australia
aussie,australia
auto,langsung
automatically,otomatis
autuhh,enggak tau itu
ava,avatar
aviaa,avia
avocado,alpukat
awaards,piala
awaas,awas
awaass,awas
awakarin,awkarin
awakmu,badanmu
award,penghargaan
awards,piala
awareness,kesadaran
awasss,awas
away,jauh
awek,perempuan
awesome,memikat
awk,awak
awkeren,keren
awkwaok,hina
awkwk,ketawa
awkwknamanya,nama
awkwkwkw,menggelikan
awl,awal
awoakwok,curiga
awokawokawok,sindir
awokwokwokpake,pakai
awoohhh,allah
awowkkwkw,ngarep
awowkwowk,sindir
awowkwowkwok,menebak
aws,awas
awsum,keren
awutawutan,awut awutan
awww,kesakitan
aya,ada
ayahh,ayahanda
ayahnya,ayahanda
ayakkkk,sayang
ayame,ayam
ayamkampus,ayam
ayang,sayang
ayank,sayang
ayayay,bahagia
ayen,saya
ayoh,ayo
ayok,ayo
ayoklaa,ayo
ayolohhh,ayo
ayoo,ayo
ayooo,ayo
ayoook,ayo
ayoookkkkkk,ayo
ayoooo,ayo
ayuh,ayo
ayuk,ayo
ayukk,youtube
ayutingting,ayu ting ting
ayyub,ayub
aza,saja
azaab,azab
azaadi,celebrity
azami,diam
azas,asas
azeeeek,asik
azhan,azan
azu,anjing
azuu,asu
b,biar
baa,ya
baad,buruk
baag,ya
baahahahahahahahahhahah,tertawa
baaiikkk,baik
baang,abang
baanget,banget
baangg,abang
baanggeettt,banget
baat,bicara
babagan,peperangan
babang,abang
babangnya,abang
babas,bebas
babe,ayahanda
babeh,ayahanda
babget,banget
babies,bayi
babihok,babi ahok
bablasa,kelewat
baby,bayi
babydoll,boneka
babyy,sayang
bacaaaa,baca
bacahalah,bacalah
bacain,bacakan
bacayg,membaca
bachha,bayi
back,kembali
backingin,melindungi
backoffice,kantor
backround,latar
backup,cadangan
bacod,bacot
bacotin,bacot
bacotmu,bacot
bad,buruk
bada,Besar
badaaiii,badai
badaii,badai
badblood,buruk
badboy,nakal
badingkan,membandingkan
badjingan,bajingan
badminton,bulutangkis
badua,berdua
baduy,badui
bae,baik
baek,baik
baengaku,ngaku
bagaatt,banget
bagaiamana,bagaimana
bagaiman,bagaimana
bagaimna,bagaimana
bagaimnpun,bagaimana
baggona,begitu
bagia,bagi
bagiii,bagi
bagiin,membagi
bagimane,bagaimana
bagmna,bagaimana
bags,tas
bagusnya,bagus
bagusnyeee,bagus
baguss,bagus
bagusss,bagus
bagussss,bagus
baguusss,bagus
baguuus,bagus
baguuuuss,bagus
baguuuussss,bagus
baguuuuus,bagus
bah,ya
bahagiasuka,bahagia
bahaha,tertawa
bahahaha,ketawa
bahahahahhahabelum,belum
bahal,bahan
bahanakan,bahan
bahancoli,bahan coli
bahannya,bahan
bahasanya,bahasa
bahasayang,bahasa
bahawa,bahwa
bahkn,bahkan
bahong,bohong
bahwasa,bahwasanya
bahwasannya,bahwasanya
baidab,biadab
baiiikkk,baik
baiiikkkk,baik
baij,baik
baikk,baik
baiklah,baik
baikxa,baik
baiq,baik
baique,baik
baizhu,pose
baj,bajak
bajad,bejat
bajaktanah,bajak tanah
bajay,bajaj
bajet,anggaran
baji,baju
bajir,banjir
bajua,bajunya
bajunya,pakaian
bajuu,baju
bakaum,bakau
bakery,toko
baktang,batang
bakuchiol,sesama
bala,pembenci
balaikota,balai kota
balance,imbang
balatak,kotor
baleg,balik
bales,balasan
balesin,balasan
balesnya,balasan
balga,besar
baligh,balig
baliik,balik
balikiinkesolo,balik
balikin,balik
balikinkesolo,balik
baliq,balig
balm,balsem
balun,balon
bami,bakmi
banagari,bernegara
banana,pisang
bancaan,bacaan
bandarq,bandarku
bandingin,bandingkan
bandinginnya,banding
bandunggeulis,bandung
bandungharmonis,bandung
bandungvotenuruli,bandung
bang,abang
banga,bangsa
bangad,bangsat
bangat,banget
bangcat,bangsat
bangdat,bangsat
bange,banget
banged,banget
bangedd,banget
bangedh,banget
bangedt,banget
bangeeeeeeeeddd,banget
bangeeeet,banget
bangeeet,banget
bangeeettt,banget
bangeer,banget
bangeet,banget
bangeett,banget
bangeettt,banget
bangen,banget
banger,banget
bangetanw,banget
bangetnih,banget
bangetnlama,lama
bangets,banget
bangett,banget
bangettotalitas,totalitas
bangettt,banget
bangetttt,banget
bangettttt,banget
bangetttttt,banget
bangettttttt,banget
bangetttttyt,banget
bangeut,banget
bangg,abang
banggaÃ¢,bangga
banggain,banggakan
bangget,banget
banggett,banget
bangke,bangkai
bangkitin,bangkit
bangkotan,tua
bangkret,bangkrut
bangrt,banget
bangsaadd,bangsat
bangsaanjing,bangsat
bangsaat,bangsat
bangsaatt,bangsat
bangsad,bangsat
bangsag,bangsat
bangsatdi,bangsat
bangsattttttt,bangsat
bangshad,bangsat
bangst,bangsat
bangsul,bangsat
bangsull,bangsat
bangt,banget
bangub,bangun
bangunin,bangunkan
bangzat,bangsat
banhak,banyak
banhet,banget
banjarbase,banjar
banjarmasinfood,makanan
banjingan,bajingan
banjirnya,banjir
bankrap,bangkrut
bannyak,banyak
banser,buzzer
bant,banyak
bante,bantai
bantenÃ°,banten
banter,tukaran
banterin,percepat
bantet,bantat
bantuan,dukungan
bantuanny,bantuannya
bantuanx,bantuannya
bantuim,bantu
bantuin,membantu
bantuk,bentuk
banun,bangun
banx,abang
bany,banyak
banya,banyak
banyaa,banyak
banyaaaaaak,banyak
banyaaaak,banyak
banyaaak,banyak
banyaak,banyak
banyakin,memperbanyak
banyakk,banyak
banyakkkkkkk,banyak
banyk,banyak
banyok,banyak
banyyaakk,banyak
banyyak,banyak
bap,bapak
bapa,bapak
bapaak,bapak
bapack,bapak
bapak,bapak
bapake,bapak
bapaklu,bapakmu
bapakny,ayahanda
bapaknya,ayahanda
bapanya,bapak
bape,baper
bapeeeer,baper
bapeerr,baper
baperan,baper
bapermania,baper
bapernya,baper
baperr,baper
baqi,sisanya
baraang,barang
barangnya,barang
barangnyaaaaaa,barang
barangsiapa,barang siapa
barengan,bareng
barengg,bareng
bargain,tawar
bargaining,tawar
baroe,baru
barokah,barakat
barokalloh,barakallah
baruÃ¢,baru
barunya,baru
baruu,baru
baruuuu,baru
baryaw,sabar
baryw,sabar
basbang,basi
base,dasar
based,berdasarkan
bashing,memukul
basiatau,basi
basic,dasar
basically,dasar
basicnya,dasar
basii,basi
basketball,basket
baso,bakso
basodaraa,bersaudara
bat,banget
bataknese,orang tua
batesin,membataskan
bath,mandi
bathil,batik
bathin,batin
batikk,batik
batre,baterai
batrenya,baterai
battle,lawan
battt,banget
batulekemu,idola
baubau,bau
bauu,bau
bawaÃ¢Â²,bawa
bawaannya,bawa
bawain,bawa
bawak,bawa
bawal,bawel
bawan,bawaan
bayae,bayar
bayangin,membayangkan
bayanginnya,membayanginya
bayanyin,membayangkan
bayaranatausuruhan,bayar
bayarin,bayar
bayiik,bayi
bayik,bayi
bayinya,bayi
bayk,baik
bayo,baju
bazeng,kaget
bazengg,bajingan
bb,marah
bberapa,beberapa
bbeuh,menghela
bbi,sayang\
bbnaija,iyakan
bbrapa,beberapa
bbrp,beberapa
bbrpa,beberapa
bbrpx,berapa
bbs,bebas
bbual,bual
bc,baca
bca,baca
bcahaya,bercakap
bcanda,bercanda
bcnda,bercanda
bcoz,karena
bcr,bocor
bcranya,bicara
bcs,karena
bct,bacot
bcz,karena
bda,beda
bdampingan,berdasarkan
bdan,badan
bday,ultah
bdaya,budaya
bde,mencoba
bdg,bandung
bdi,badik
bdk,budak
bdksjdbsksjd,aneh
bdn,badan
bdya,budaya
be like,seperti
beach,pantai
bear,beruang
bearti,berarti
beautiful,cantik
beauty,cantik
beautyfluence,influencer
beb,sayang
bebal,bodoh
bebbb,sayang
beberes,membersihkan
bebisik,berbisik
bebrapa,beberapa
bebrp,beberapa
bebs,sayang
beca,becak
becakap,bercanda
becanda,bercanda
becandaan,bercanda
becandain,bercanda
because,karena
bechn,bercanda
bedaa,beda
bedain,beda
bedainnya,membedakannya
bedakin,bedak
bedanya,beda
bedanyaaa,beda
bedava,beda
bedmud,badmood
bedoa,berdoa
bedua,berdua
beeeel,bawel
beepegang,berpegang
beer,bir
beernya,bir
before,sebelahnya
begajulan,nakal
bege,bodoh
begenean,begini
begete,banget
begimana,bagaimana
begimane,bagaimana
beginii,begini
beginiiii,begini
beginiiiiii,begini
begitupin,begitupun
begituu,begitu
begok,bodoh
begokk,bodoh
begonya,bego
beh,menghela
behind,dibelakang
beiringan,beriringan
bejad,bejat
bejanggut,berjanggut
bejibun,banyak
bejo,beruntung
bekasisah,resmi
bekasnya,bekas
beke,populer
bekel,bekal
bekerjasama,bekerja sama
bekingin,lindungi
bekuasa,berkuasa
bela,belain
belaajr,belajar
belagak,belaga
belagu,belaga
belagunya,belaga
belain,membela
belajarnya,belajar
belajarpun,belajar
belakangnya,belakang
belaki,laki
belamra,belajar
belangsak,blangsak
belanjaa,belanja
belarut,berlarut
belasan,belas
belekuk,belekok
belepotan,berlepotan
belgium,belgia
beliaw,dia
belibet,berbelit
belibilang,beli
believe,percaya
belift,percaya
belii,beli
beliiin,beli
beliin,beli
belikan,beli
belilink,beli
belina,beli
belinya,beli
belio,beliau
bell,bel
bellain,bela
belli,beli
bello,beli
belokin,belok
belom,belum
beloman,belum
belomm,belum
belon,belum
beloom ,belum
belooomm,belum
beloved,disayang
belumm,belum
belummm,belum
belun,belum
belur,belum
beluuum,belum
ben,benar
benahin,membenahi
benarin,membenarkan
benc,benci
bencar,bentar
bencii,benci
bencong,banci
bencoonngg,bencong
benee,benar
beneeeerrr,benar
beneer,benar
beneerr,benar
benefitnya,keuntungan
beneraan,beneran
benerannya,beneran
benerbener,beneran
benerin,beneran
benerkan,beneran
benerpun,beneran
benerr,benar
benerrr,bener
benet,bener
benetaran,benar
beng,bengong
bengad,bengal
bengeeekkk,sesak
bengek,sesak
benget,banget
bengitu,begitu
bennett,dilarang
benr,benar
bentar,sebentar
bentarlawannya,lawan
bentarr,bentar
bentukny,bentuknya
benzen,benzena
ber,bangkit
beraan,berat
beradsense,beriklan
beraktifitas,beraktivitas
berangat,berangkat
beranta,berantem
beraqidah,berakidah
berarto,berarti
berasaaa,rasa
berashitam,beras
berati,berarti
beratnya,berat
beratt,berat
beratttttttt,berat
berbahay,berbahaya
berbakiti,berbakti
berbaloi,sebanding
berbau,bau
berbayartidak,berbayar
berbeza,beda
berbhayanya,bahaya
berbhinneka,berbineka
berbie,barbie
berbiiiiiihhh,barbie
berbudaye,berbusa
berdialogis,ngobrol
berdikari,berdiri
berdo,berdoa
berduaaeila,berdua
berduaanleoneabbacchio,berdua
berdukacita,duka
berenanh,berenang
berendem,perendaman
berenti,berhenti
beres,selesai
beresiko,berisiko
beresin,membereskan
beress,teratur
bereukumene,memanggil
ber'expresi,berempat
berfikir,berpikir
berfikirnya,berpikir
bergengam,bergenggam
berghibah,bergibah
bergiziah,bergizi
bergoncang,berguncang
berguman,bergumam
bergunaa,berguna
berhaq,berhak
berharab,berharap
berhatap,berharap
berhbgan,berhubungan
berhijap,berhijab
berhnti,berhenti
berhub,berhubung
beribadat,beribadah
beribu,beribu
